Date,CL=F,PLN=X,diesel,super95
2020-01-04,63.04999923706055,3.7939999103546143,4204.0,3953.0
2020-01-05,63.04999923706055,3.7939999103546143,4204.0,3953.0
2020-01-06,63.27000045776367,3.801039934158325,4204.0,3953.0
2020-01-07,62.70000076293945,3.7795000076293945,4204.0,3953.0
2020-01-08,59.61000061035156,3.806849956512451,4181.0,3944.0
2020-01-09,59.560001373291016,3.8097000122070312,4171.0,3911.0
2020-01-10,59.040000915527344,3.8217999935150146,4137.0,3923.0
2020-01-11,59.040000915527344,3.8217999935150146,4110.0,3923.0
2020-01-12,59.040000915527344,3.8217999935150146,4110.0,3923.0
2020-01-13,58.08000183105469,3.810770034790039,4110.0,3923.0
2020-01-14,58.22999954223633,3.80049991607666,4039.0,3902.0
2020-01-15,57.810001373291016,3.794800043106079,4023.0,3911.0
2020-01-16,58.52000045776367,3.793299913406372,4006.0,3907.0
2020-01-17,58.540000915527344,3.800100088119507,3992.0,3908.0
2020-01-18,58.540000915527344,3.800100088119507,3967.0,3899.0
2020-01-19,58.540000915527344,3.800100088119507,3967.0,3899.0
2020-01-20,58.540000915527344,3.8210198879241943,3967.0,3899.0
2020-01-21,58.34000015258789,3.825200080871582,3978.0,3903.0
2020-01-22,56.7400016784668,3.8171000480651855,3983.0,3908.0
2020-01-23,55.59000015258789,3.819499969482422,3939.0,3899.0
2020-01-24,54.189998626708984,3.8410000801086426,3934.0,3878.0
2020-01-25,54.189998626708984,3.8410000801086426,3902.0,3838.0
2020-01-26,54.189998626708984,3.8410000801086426,3902.0,3838.0
2020-01-27,53.13999938964844,3.8598599433898926,3902.0,3838.0
2020-01-28,53.47999954223633,3.881160020828247,3870.0,3817.0
2020-01-29,53.33000183105469,3.875699996948242,3868.0,3798.0
2020-01-30,52.13999938964844,3.890899896621704,3869.0,3788.0
2020-01-31,51.560001373291016,3.892899990081787,3821.0,3781.0
2020-02-01,51.560001373291016,3.892899990081787,3831.0,3774.0
2020-02-02,51.560001373291016,3.892899990081787,3831.0,3774.0
2020-02-03,50.11000061035156,3.873800039291382,3831.0,3774.0
2020-02-04,49.61000061035156,3.8845601081848145,3788.0,3763.0
2020-02-05,50.75,3.869999885559082,3771.0,3751.0
2020-02-06,50.95000076293945,3.858299970626831,3779.0,3753.0
2020-02-07,50.31999969482422,3.878499984741211,3764.0,3745.0
2020-02-08,50.31999969482422,3.878499984741211,3792.0,3758.0
2020-02-09,50.31999969482422,3.878499984741211,3792.0,3758.0
2020-02-10,49.56999969482422,3.900789976119995,3792.0,3758.0
2020-02-11,49.939998626708984,3.9066500663757324,3779.0,3759.0
2020-02-12,51.16999816894531,3.898099899291992,3775.0,3756.0
2020-02-13,51.41999816894531,3.909600019454956,3785.0,3760.0
2020-02-14,52.04999923706055,3.914900064468384,3802.0,3763.0
2020-02-15,52.04999923706055,3.914900064468384,3822.0,3775.0
2020-02-16,52.04999923706055,3.914900064468384,3822.0,3775.0
2020-02-17,52.04999923706055,3.916059970855713,3822.0,3775.0
2020-02-18,52.04999923706055,3.930999994277954,3822.0,3782.0
2020-02-19,53.290000915527344,3.952359914779663,3821.0,3784.0
2020-02-20,53.779998779296875,3.9504001140594482,3838.0,3808.0
2020-02-21,53.380001068115234,3.9647998809814453,3874.0,3841.0
2020-02-22,53.380001068115234,3.9647998809814453,3858.0,3860.0
2020-02-23,53.380001068115234,3.9647998809814453,3858.0,3860.0
2020-02-24,51.43000030517578,3.95986008644104,3858.0,3860.0
2020-02-25,49.900001525878906,3.969899892807007,3838.0,3831.0
2020-02-26,48.72999954223633,3.9572999477386475,3800.0,3797.0
2020-02-27,47.09000015258789,3.9646999835968018,3741.0,3750.0
2020-02-28,44.7599983215332,3.930079936981201,3673.0,3687.0
2020-02-29,44.7599983215332,3.930079936981201,3652.0,3654.0
2020-03-01,44.7599983215332,3.930079936981201,3652.0,3654.0
2020-03-02,46.75,3.9219000339508057,3652.0,3654.0
2020-03-03,47.18000030517578,3.8742001056671143,3676.0,3609.0
2020-03-04,46.779998779296875,3.8550000190734863,3664.0,3591.0
2020-03-05,45.900001525878906,3.856139898300171,3663.0,3594.0
2020-03-06,41.279998779296875,3.837100028991699,3654.0,3602.0
2020-03-07,41.279998779296875,3.837100028991699,3621.0,3553.0
2020-03-08,41.279998779296875,3.837100028991699,3621.0,3553.0
2020-03-09,31.1299991607666,3.7893099784851074,3621.0,3553.0
2020-03-10,34.36000061035156,3.7972099781036377,3552.0,3473.0
2020-03-11,32.97999954223633,3.80292010307312,3486.0,3378.0
2020-03-12,31.5,3.8415000438690186,3425.0,3271.0
2020-03-13,31.729999542236328,3.9161999225616455,3315.0,3154.0
2020-03-14,31.729999542236328,3.9161999225616455,3306.0,3086.0
2020-03-15,31.729999542236328,3.9161999225616455,3306.0,3086.0
2020-03-16,28.700000762939453,3.917759895324707,3306.0,3086.0
2020-03-17,26.950000762939453,3.9745700359344482,3264.0,2994.0
2020-03-18,20.3700008392334,4.05679988861084,3213.0,2922.0
2020-03-19,25.219999313354492,4.097799777984619,3159.0,2889.0
2020-03-20,22.43000030517578,4.273819923400879,3175.0,2876.0
2020-03-21,22.43000030517578,4.273819923400879,3195.0,2889.0
2020-03-22,22.43000030517578,4.273819923400879,3195.0,2889.0
2020-03-23,23.360000610351562,4.209350109100342,3195.0,2889.0
2020-03-24,24.010000228881836,4.2820000648498535,3193.0,2844.0
2020-03-25,24.489999771118164,4.26092004776001,3223.0,2817.0
2020-03-26,22.600000381469727,4.1869797706604,3228.0,2783.0
2020-03-27,21.510000228881836,4.083559989929199,3236.0,2815.0
2020-03-28,21.510000228881836,4.083559989929199,3218.0,2808.0
2020-03-29,21.510000228881836,4.083559989929199,3218.0,2808.0
2020-03-30,20.09000015258789,4.073299884796143,3218.0,2808.0
2020-03-31,20.479999542236328,4.117400169372559,3192.0,2801.0
2020-04-01,20.309999465942383,4.1356000900268555,3181.0,2807.0
2020-04-02,25.31999969482422,4.196800231933594,3152.0,2772.0
2020-04-03,28.34000015258789,4.202899932861328,3141.0,2786.0
2020-04-04,28.34000015258789,4.202899932861328,3163.0,2806.0
2020-04-05,28.34000015258789,4.202899932861328,3163.0,2806.0
2020-04-06,26.079999923706055,4.246399879455566,3163.0,2806.0
2020-04-07,23.6299991607666,4.223299980163574,3187.0,2842.0
2020-04-08,25.09000015258789,4.1539998054504395,3209.0,2834.0
2020-04-09,22.760000228881836,4.170499801635742,3187.0,2818.0
2020-04-10,22.760000228881836,4.160749912261963,3176.0,2809.0
2020-04-11,22.760000228881836,4.160749912261963,3176.0,2809.0
2020-04-12,22.760000228881836,4.160749912261963,3176.0,2809.0
2020-04-13,22.40999984741211,4.16379976272583,3176.0,2809.0
2020-04-14,20.110000610351562,4.158699989318848,3176.0,2809.0
2020-04-15,19.8700008392334,4.114299774169922,3136.0,2814.0
2020-04-16,19.8700008392334,4.161499977111816,3086.0,2817.0
2020-04-17,18.270000457763672,4.171299934387207,3080.0,2831.0
2020-04-18,18.270000457763672,4.171299934387207,3091.0,2837.0
2020-04-19,18.270000457763672,4.171299934387207,3091.0,2837.0
2020-04-20,-37.630001068115234,4.15910005569458,3091.0,2837.0
2020-04-21,10.010000228881836,4.162899971008301,3070.0,2826.0
2020-04-22,13.779999732971191,4.177299976348877,3022.0,2761.0
2020-04-23,16.5,4.2093000411987305,2949.0,2729.0
2020-04-24,16.940000534057617,4.214700222015381,2954.0,2761.0
2020-04-25,16.940000534057617,4.214700222015381,2921.0,2738.0
2020-04-26,16.940000534057617,4.214700222015381,2921.0,2738.0
2020-04-27,12.779999732971191,4.192599773406982,2921.0,2738.0
2020-04-28,12.34000015258789,4.190800189971924,2905.0,2718.0
2020-04-29,15.0600004196167,4.198400020599365,2876.0,2705.0
